AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,REF_SLOPE,GRID_FULL,RUFD_MIN,RUFD_Max,RUFD_Mean,RUFD_AVG,RUFD_STD,RUFD_MED,RUFD_RMSE,RUFD_MAE,RUFD_AB_MD,RUFD_AB_MN,RUFD_N,RUFD_LE90,SLOPE_PC
brazil,S08QW038C,ASTER,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,FLAT,99.11,-12.41,13.59,1.68,0.98,1.32,1.67,2.14,1.81,1.53,1.68,110427,3.25,85.92
brazil,S08QW038C,ASTER,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,STEEP,99.11,-26.68,20.33,0.63,2.75,3.72,0.60,3.77,2.79,0.29,0.63,16656,5.91,12.96
brazil,S08QW038C,ASTER,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,ALL,99.11,-64.76,97.08,1.18,1.24,1.82,1.22,2.17,1.66,1.40,1.18,128518,3.22,100
brazil,S08QW038C,ASTER,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,FLAT,99.11,-43.21,17.42,1.26,1.01,1.34,1.26,1.84,1.50,1.19,1.26,109909,2.9,85.52
brazil,S08QW038C,ASTER,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,STEEP,99.11,-64.76,97.08,0.59,2.59,3.51,0.53,3.56,2.63,0.19,0.59,17183,5.64,13.37
brazil,S08QW038C,FABDEM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,ALL,99.11,-23.51,17.75,-0.06,0.72,1.24,-0.02,1.24,0.72,0.45,0.06,128518,1.5,100
brazil,S08QW038C,FABDEM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,FLAT,99.11,-11.48,15.14,0.02,0.55,0.80,-0.00,0.80,0.55,0.38,0.02,110427,1.15,85.92
brazil,S08QW038C,FABDEM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,STEEP,99.11,-23.51,17.75,-0.62,1.78,2.65,-0.43,2.72,1.81,0.05,0.62,16656,3.84,12.96
brazil,S08QW038C,FABDEM,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,ALL,99.11,-60.67,102.47,-0.42,0.76,1.22,-0.36,1.29,0.83,0.58,0.42,128518,1.74,100
brazil,S08QW038C,FABDEM,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,FLAT,99.11,-52.61,16.42,-0.39,0.61,0.84,-0.36,0.93,0.68,0.48,0.39,109909,1.45,85.52
brazil,S08QW038C,FABDEM,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,STEEP,99.11,-60.67,102.47,-0.67,1.67,2.50,-0.54,2.58,1.73,0.07,0.67,17183,3.62,13.37
brazil,S08QW038D,COP,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,ALL,99.45,-4.91,8.59,0.18,0.41,0.57,0.15,0.60,0.43,0.32,0.18,128877,0.94,100
brazil,S08QW038D,COP,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,FLAT,99.45,-4.76,5.10,0.18,0.41,0.55,0.15,0.58,0.43,0.31,0.18,126542,0.93,98.19
brazil,S08QW038D,COP,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,STEEP,99.45,-4.02,5.93,-0.16,0.91,1.26,-0.16,1.27,0.92,0.00,0.16,907,2.01,0.7
brazil,S08QW038D,COP,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,ALL,99.45,-20.55,20.93,0.06,0.38,0.53,0.05,0.53,0.38,0.27,0.06,128877,0.82,100
brazil,S08QW038D,COP,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,FLAT,99.45,-20.55,16.04,0.06,0.37,0.51,0.05,0.51,0.37,0.27,0.06,126507,0.8,98.16
brazil,S08QW038D,COP,md_pe3d_mds_1m_elev_S08QW038D_1m_1sec_point,DSM,STEEP,99.45,-11.12,20.93,-0.20,0.91,1.28,-0.19,1.29,0.93,0.00,0.20,942,2.1,0.73
brazil,S08QW038D,SRTM,md_pe3d_mdt_1m_elev_S08QW038D_1m_1sec_point,DTM,ALL,99.45,-7.52,9.91,0.55,0.71,0.93,0.58,1.08,0.86,0.74,0.55,128877,1.73,100
