AREA,DEMIX_TILE,LAT,LONG,AVG_ELEV,AVG_SLOPE,AVG_ROUGH,RELIEF,FOREST_PC,URBAN_PC,REF_TYPE,LAND_TYPE,REC_ID,BEST_DEM,CRITERION,FABDEM,COP,ALOS,NASA,SRTM,ASTER
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,URBAN,55,ALOS,ELD_LE90,6.65,7.46,6.48,8.95,8.27,11.26
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,FOREST,54,ALOS,ELD_AVG,3.75,3.74,1.39,4.22,4.3,7.42
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,FOREST,54,ALOS,ELD_STD,5.1,5.09,1.99,5.55,5.61,9.45
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,FOREST,54,ALOS,ELD_RMSE,5.62,5.54,2.27,5.54,5.8,9.9
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,FOREST,54,ALOS,ELD_MAE,3.69,3.75,1.72,4.18,4.15,7.49
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,FOREST,54,ALOS,ELD_LE90,9.6,9.31,3.88,9.15,9.96,17.02
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DSM,ALL,56,ALOS,ELD_AVG,4.07,4.05,1.47,4.59,4.59,6.03
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DSM,ALL,56,ALOS,ELD_STD,5.97,5.81,2.6,6.6,6.61,8.25
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DSM,ALL,56,ALOS,ELD_RMSE,5.99,5.83,2.61,6.79,6.64,8.97
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DSM,ALL,56,ALOS,ELD_MAE,4.1,4.07,1.48,4.8,4.62,6.85
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DSM,ALL,56,ALOS,ELD_LE90,9.65,9.56,3.07,10.51,10.38,13.88
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DSM,STEEP,58,ALOS,ELD_AVG,6.59,6.58,2.16,6.45,6.5,8.02
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DSM,STEEP,58,ALOS,ELD_STD,8.26,8.17,3.46,8.47,8.52,10.52
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DSM,STEEP,58,ALOS,ELD_RMSE,8.27,8.19,3.47,8.53,8.52,10.98
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DSM,STEEP,58,ALOS,ELD_MAE,6.61,6.59,2.17,6.49,6.5,8.45
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DSM,STEEP,58,ALOS,ELD_LE90,12.68,12.58,4.28,13.52,13.43,17.41
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DSM,FLAT,57,ALOS,ELD_AVG,2.17,2.2,0.97,3.18,3.16,4.58
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DSM,FLAT,57,ALOS,ELD_STD,2.96,2.98,1.73,4.6,4.6,6.12
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DSM,FLAT,57,ALOS,ELD_RMSE,3.01,3.02,1.74,4.95,4.68,7.24
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DSM,FLAT,57,ALOS,ELD_MAE,2.22,2.24,0.98,3.51,3.22,5.75
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DSM,FLAT,57,ALOS,ELD_LE90,4.82,4.86,1.94,7.39,6.83,11.17
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DSM,URBAN,60,ALOS,ELD_AVG,3.57,3.47,1.88,4.12,4.16,5.59
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DSM,URBAN,60,ALOS,ELD_STD,6.22,6.14,3.31,6.5,6.51,7.61
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DSM,URBAN,60,ALOS,ELD_RMSE,6.75,6.3,3.35,6.54,6.55,7.7
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DSM,URBAN,60,ALOS,ELD_MAE,3.9,3.5,1.91,4.29,4.11,5.43
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DSM,URBAN,60,ALOS,ELD_LE90,8.51,8.07,3.85,8.81,8.82,11.75
